country,country_code,year,budget_deficit_surplus,capital_expenditure,consumer_price_index_cpi,defence_expenditure,education_expenditure,expenditure,exports,food_inflation,gdp_growth_rate,gdp_per_capita,government_debt,health_expenditure,imports,inflation_rate,interest_rate,labour_force,nominal_gdp,population,real_gdp,revenue,tax_revenue,unemployment_rate,value_added_tax_vat
Algeria,DZA,1977.0,,,,,,,6.0,,,,,,-6.21,,,,,,,,,,
Algeria,DZA,1978.0,,,,,,,6.3,,,,,,-7.32,,,,,,,,,,
Algeria,DZA,1979.0,,,,,,,9.5,,,,,,-7.82,,,,,,,,,,
Algeria,DZA,1980.0,,,,,,,13.7,,,,,,-9.61,,,,,,,,,,
Algeria,DZA,1981.0,,,,,,,14.1,,,,,,-10.11,,,,,,,,,,
Algeria,DZA,1982.0,,,,,,,13.5,,,,,,-9.92,,,,,,,,,,
Algeria,DZA,1983.0,,,,,,,12.7,,,,,,-9.54,,,,,,,,,,
Algeria,DZA,1984.0,,,,,,,12.8,,,,,,-9.24,,,,,,,,,,
Algeria,DZA,1985.0,,,,,,,13.0,,,,,,-8.81,,,,,,,,,,
Algeria,DZA,1986.0,,,,,,,8.1,,,,,,-8.53,,,,,,,,,,
Algeria,DZA,1987.0,,,,,,,9.0,,,,,,-7.27,,,,,,,,,,
Algeria,DZA,1988.0,,,,,,,7.6,,,,,,-7.69,,,,,,,,,,
Algeria,DZA,1989.0,,,,,,,9.6,,,,,,-9.47,,,,,,,,,,
Algeria,DZA,1990.0,,,,,,,12.9,,,,,,-9.77,,,,,,,,,,
Algeria,DZA,1991.0,,,,,,,12.4,,,,,,-7.77,,,,,,,,,,
Algeria,DZA,1992.0,,,,,,,11.5,,,,,,-8.3,,,,,,,,,,
Algeria,DZA,1993.0,,,,,,,10.4,,,,,,-7.99,,,,,,,,,,
Algeria,DZA,1994.0,,,,,,,8.9,,,,,,-9.15,,,,,,,,,,
Algeria,DZA,1995.0,,,,,,,10.3,,,,,,-10.1,,,,,,,,,,
Algeria,DZA,1996.0,,,,,,,13.2,,,,,,-9.09,,,,,,,,,,
Algeria,DZA,1997.0,,,,,,,13.8,,,,,,-8.13,,,,,,,,,,
Algeria,DZA,1998.0,,,,,,,10.1,,,,,,-8.63,,,,,,,,,,
Algeria,DZA,1999.0,,,,,,,12.3,,,,,,-8.96,,,,,,,,,,
Algeria,DZA,2000.0,,,,,,,21.7,,,,,,-9.35,,,,,,,,,,
Algeria,DZA,2001.0,,,,,,,19.1,,,,,,-9.48,,,,4587607.0,,,,,,
Algeria,DZA,2002.0,,,101.74,,,,18.7,,5.4,,,,-12.01,,,,4901720.0,,,,,,
Algeria,DZA,2003.0,,,101.48,,,,24.5,,6.5,,,,-13.32,,,,5687158.0,,,,,,
Algeria,DZA,2004.0,,,108.96,,,,32.2,4.55,4.5,,,,-17.95,4.9,,,6623355.0,,,,,,
Algeria,DZA,2005.0,,,111.8,,,,46.3,4.06,5.4,,,,-19.85,3.58,,,7843981.0,,,,,,
Algeria,DZA,2006.0,,,112.5,,,,54.7,-1.45,2.9,,,,-20.68,1.22,,,8941655.0,,,,,,
Algeria,DZA,2007.0,,,115.17,,,,60.6,4.65,3.1,,,,-26.35,2.46,,,9872971.0,,,,,,
Algeria,DZA,2008.0,,,120.39,,,,78.6,6.74,2.5,,,,-37.99,3.86,,,11649694.0,,,,,,
Algeria,DZA,2009.0,,,126.98,,,,45.2,7.43,1.2,,,,-37.4,4.94,,,10920163.0,,,,,,
Algeria,DZA,2010.0,,,133.52,,,,57.1,8.25,4.8,,,,-38.89,5.71,,,13224716.0,,,,,,
Algeria,DZA,2011.0,,,138.29,,,,72.9,3.85,3.0,,,,-46.93,3.78,,,15924670.0,,,,,,
Algeria,DZA,2012.0,,,148.71,,,,71.7,4.71,2.4,,,,-51.57,4.86,,,17611810.0,,,,,,
Algeria,DZA,2013.0,,,160.33,,,,64.9,12.35,2.6,,,,-54.99,8.91,,,18231035.0,,,,,,
Algeria,DZA,2014.0,,,161.4,,,,60.1,2.46,4.1,,,,-59.67,2.67,,,19253765.0,,,,,,
Algeria,DZA,2015.0,,,168.91,,,,34.6,4.26,3.2,,,,-52.65,3.25,,,18879025.0,,,,,,
Algeria,DZA,2016.0,,,177.42,,,,29.3,4.39,3.9,,,,-49.44,4.82,,,19783349.0,,,,,,
Algeria,DZA,2017.0,,,191.74,,,,34.6,3.8,1.5,,,,-48.98,6.65,,,21071656.0,,,,,,
Algeria,DZA,2018.0,,,198.59,,,,41.1,4.59,1.4,,,,-48.57,5.22,,,22683845.0,,,,,,
Algeria,DZA,2019.0,,,203.74,,,,35.3,3.34,0.9,,,,-44.63,4.18,,,23090099.0,,,,,,
Algeria,DZA,2020.0,,,207.66,,,,21.9,-0.76,-5.0,,,,-35.55,1.9,,,20902124.0,,,,,,
Algeria,DZA,2021.0,,,216.45,,,,38.6,0.63,3.8,,,,-37.47,2.61,,,25153206.0,,,,,,
Algeria,DZA,2022.0,,,236.0,,,,65.7,10.9,3.6,,,,-38.87,7.62,,,32039527.0,,,,,,
Algeria,DZA,2023.0,,,257.98,,,,55.0,13.43,3.0,,,,-42.96,9.29,,,33638264.0,,,,,,
Algeria,DZA,2024.0,,,274.32,,,,,12.69,3.6,,,,,9.06,,,35788498.8,,,,,,
Algeria,DZA,2025.0,,,284.46,,,,,2.88,,,,,,3.84,,,,,,,,,
Angola,AGO,1990.0,,,,,,,3882.7,,,,,,,,,,,,,,,,
Angola,AGO,1991.0,,,,,,,3449.2,,,,,,,,,,,,,,,,
Angola,AGO,1992.0,,,,,,,3832.7,,,,,,,,,,,,,,,,
Angola,AGO,1993.0,,,,,,,2900.4,,,,,,,,,,,,,,,,
Angola,AGO,1994.0,,,,,,,3016.7,,,,,,,,,,,,,,,,
Angola,AGO,1995.0,,,,,,,3722.7,,,,,,,,,,,,,,,,
Angola,AGO,1996.0,,,,,,,5094.8,,,,,,,,,,,,,,,,
Angola,AGO,1997.0,,,,,,,5006.7,,,,,,,,,,,,,,,,
Angola,AGO,1998.0,,,,,,,3542.9,,,,,,,,,,,,,,,,
Angola,AGO,1999.0,,,,,,,5156.5,,,,,,,,,,,,,,,,
Angola,AGO,2000.0,,,,,,,7920.7,,,,,,,,,,,,,,,,
Angola,AGO,2001.0,,,,,,,6534.3,,,,,,,,,,,,,,,,
Angola,AGO,2002.0,,,,,,,8327.9,,,55490.0,,,,,,,753573.7197,13580345.51,,,,,
Angola,AGO,2003.0,,,,,,,9508.2,,3.49,107760.0,,,5480.12,,,,1517650.933,14083677.03,779853.1894,,,,
Angola,AGO,2004.0,,,,,,,13475.0,,11.42,155336.0,,,5831.78,,,,2255447.872,14519769.61,1690964.596,,,,
Angola,AGO,2005.0,,,,,,,24109.4,,14.15,241374.0,,,8353.24,,,,3608095.309,14948177.73,2574701.5,,,,
Angola,AGO,2006.0,,,,,,,31862.2,,11.84,305893.0,,,8777.63,,,,4713881.568,15410205.33,4035359.384,,,,
Angola,AGO,2007.0,,,,,,,44396.2,,13.0,352609.0,,,13661.46,,,,5602449.613,15888562.39,5326812.926,,,,
Angola,AGO,2008.0,,,,,,,63913.9,,10.79,452873.0,,,20982.19,,,,7412577.53,16367880.0,6206765.463,,,,
Angola,AGO,2009.0,,,,,,,40827.9,,2.0,383775.0,,,22659.94,,,,6481521.8,16888858.0,7560502.119,,,,
Angola,AGO,2010.0,,,,,,,50594.9,,5.29,507350.0,,,16666.86,,,,8781308.454,17308202.75,6824631.898,,,,
Angola,AGO,2011.0,,,,,,,67310.3,,3.59,663525.0,,,20228.45,,,,11793661.42,17774262.37,9096897.229,,,,
Angola,AGO,2012.0,,,,,,,71093.3,,8.5,751446.0,,,23703.84,,10.3,,13706611.88,18240321.99,12796490.94,,,,
Angola,AGO,2013.0,,,,,,,68246.5,,4.88,793353.0,,,26330.99,,10.0,,14840760.47,18706381.61,14375914.13,,,,
Angola,AGO,2014.0,,,,,,,59169.9,,4.66,624129.0,,,28580.27,,9.3,,16165667.82,25901182.0,15531705.26,,,,
Angola,AGO,2015.0,,,,,,,33181.1,,0.76,592443.0,,,20692.54,,9.0,,15807317.33,26681590.0,16289040.59,,,,
Angola,AGO,2016.0,,,,,,,27588.9,,-1.7,682888.0,,,13040.49,,12.0,,18781815.99,27503526.0,15538509.1,,,,
Angola,AGO,2017.0,,,,,,,34613.5,,-0.15,818092.0,,,14463.24,,16.0,,23200798.62,28359634.0,18753756.66,,,,
Angola,AGO,2018.0,,,,,,,40757.8,,-0.59,987124.0,,,15797.85,,18.0,,28873391.11,29250009.0,23062890.47,,,,
Angola,AGO,2019.0,,,,,,,34725.6,,-0.2,1144586.0,,,14127.06,,15.8,,34538508.02,30175553.0,28814292.98,,,,
Angola,AGO,2020.0,,,,,,,20937.4,,-4.04,1235754.0,,,9543.14,,15.5,,38466148.28,31127674.0,33142307.05,,,,
Angola,AGO,2021.0,,,101.5,,,,33581.5,,2.1,1659871.0,,,11794.85,,15.5,,53277982.46,32097671.0,39274996.18,,,,
Angola,AGO,2022.0,,,129.57,,,,50038.0,,4.22,1982276.0,,,17267.32,22.96,20.0,,65586149.32,33086278.0,55524183.58,,,,
Angola,AGO,2023.0,,,145.83,,,,36884.7,,1.26,2298268.0,,,15084.85,12.55,19.5,,78322351.9,34078866.34,66414704.48,,,,
Angola,AGO,2024.0,,,177.89,,,,36795.0,,3.79,,,,14190.24,21.99,18.0,,,,,,,,
Angola,AGO,2025.0,,,224.99,,,,7778.95,,3.51,,,,3806.89,26.48,19.5,,,,,,,,
Botswana,BWA,1960.0,,,,,,,,,,,,,,,,,,516165.0,,,,,
Botswana,BWA,1961.0,,,,,,,,,,,,,,,,,,527942.0,,,,,
Botswana,BWA,1962.0,,,,,,,,,,,,,,,,,,540186.0,,,,,
Botswana,BWA,1963.0,,,,,,,,,,,,,,,,,,552966.0,,,,,
Botswana,BWA,1964.0,,,,,,,,,,,,,,,,,,566266.0,,,,,
Botswana,BWA,1965.0,,,,,,,,,,,,,,,,,,574664.0,,,,,
Botswana,BWA,1966.0,,,,,,,,,,,,,,,,,,577866.0,,,,,
Botswana,BWA,1967.0,,,,,,,,,,,,,,,,,,580933.0,,,,,
Botswana,BWA,1968.0,,,,,,,,,,,,,,,,,,583966.0,,,,,
Botswana,BWA,1969.0,,,,,,,,,,,,,,,,,,587066.0,,,,,
Botswana,BWA,1970.0,,,,,,,,,,,,,,,,,,590334.0,,,,,
Botswana,BWA,1971.0,,,,,,,,,,,,,,,,,,600481.0,,,,,
Botswana,BWA,1972.0,,,,,,,,,,,,,,,,,,622407.0,,,,,
Botswana,BWA,1973.0,,,,,,,,,,,,,,,,,,652408.0,,,,,
Botswana,BWA,1974.0,,,,,,,,,,,,,,,,,,685448.0,,,,,
Botswana,BWA,1975.0,,,,,,,,,,,,,,,,,,720380.0,,,,,
Botswana,BWA,1976.0,,,,,,,,,,,,,,,,,,758508.0,,,,,
Botswana,BWA,1977.0,,,,,,,,,,,,,,,,,,799574.0,,,,,
Botswana,BWA,1978.0,,,,,,,,,,,,,,,,,,849239.0,,,,,
Botswana,BWA,1979.0,,,,,,,,,,,,,,,,,,901742.0,,,,,
Botswana,BWA,1980.0,,,,,,,,,,,,,,,,,,937485.0,,,,,
Botswana,BWA,1981.0,,,,,,,,,,,,,,,,,,969996.0,,,,,
Botswana,BWA,1982.0,,,,,,,,,,,,,,,,,,1009269.0,,,,,
Botswana,BWA,1983.0,,,,,,,,,,,,,,,,,,1046137.0,,,,,
Botswana,BWA,1984.0,,,,,,,,,,,,,,,,,,1083660.0,,,,,
Botswana,BWA,1985.0,,,,,,,,,,,,,,,,,,1121945.0,,,,,
Botswana,BWA,1986.0,,,,,,,,,,,,,,,,,,1160650.0,,,,,
Botswana,BWA,1987.0,,,,,,,,,,,,,,,,,,1199167.0,,,,,
Botswana,BWA,1988.0,,,,,,,,,,,,,,,,,,1235476.0,,,,,
Botswana,BWA,1989.0,,,,,,,,,,,,,,,,,,1270274.0,,,,,
Botswana,BWA,1990.0,,,,,,,,,,,,,,,,,,1305696.0,,,,,
Botswana,BWA,1991.0,,,,,,,,,,,,,,,,,,1341756.0,,,,,
Botswana,BWA,1992.0,,,,,,,,,,,,,,,,,,1380033.0,,,,,
Botswana,BWA,1993.0,,,,,,,,,,,,,,,,,,1420115.0,,,,,
Botswana,BWA,1994.0,,,,,,,,,,,,,,,,,,1460023.0,,,,,
Botswana,BWA,1995.0,,,,,,,,,,,,,,,,,,1498836.0,,,,,
Botswana,BWA,1996.0,,,,,,,,,,,,,,,,,,1535914.0,,,,,
Botswana,BWA,1997.0,,,,,,,,,,,,,,,,,,1571691.0,,,,,
Botswana,BWA,1998.0,,,,,,,,,,,,,,,,,,1606899.0,,,,,
Botswana,BWA,1999.0,,,,,,,,,,,,,,,,,,1641997.0,,,,,
Botswana,BWA,2000.0,,,,,,,,,,,,,,,,,,1677382.0,,,,,
Botswana,BWA,2001.0,,,,,,,,,,,,,,,,,,1712254.0,,,,,
Botswana,BWA,2002.0,,,,,,,,,,,,,,,,,,1744763.0,,,,,
Botswana,BWA,2003.0,,,,,,,,,,,,,,,,,,1775736.0,,,,,
Botswana,BWA,2004.0,,,,,,,,,,,,,,,,,,1807146.0,,,,,
Botswana,BWA,2005.0,,,,,,,,,,,,,,,,,,1839877.0,,,,,
Botswana,BWA,2006.0,,,,,,,,,,,,,,,,,,1874516.0,,,,,
Botswana,BWA,2007.0,,,,,,,,,,,,,,,,,,1911201.0,,,,,
Botswana,BWA,2008.0,,,,,,,,,,,,,,,,,,1949970.0,,,,,
Botswana,BWA,2009.0,,,,,,,,,,,,,,,,,,1990673.0,,,,,
Botswana,BWA,2010.0,,,,,,,,,,,,,,,,,,2033111.0,,,,,
Botswana,BWA,2011.0,,,,,,,,,,,,,,,,,,2073535.0,,,,,
Botswana,BWA,2012.0,,,,,,,,,,,,,,,,,,2108617.0,,,,,
Botswana,BWA,2013.0,,,,,,,,,,,,,,,,,,2140682.0,152500.4,,,,
Botswana,BWA,2014.0,,,,,,,,,,,,,,,7.5,,,2172044.0,40696.5,,,,
Botswana,BWA,2015.0,,,,,,,,,,70162.76,,,,,7.25,,,2203273.0,39080.1,,,,
Botswana,BWA,2016.0,,,,,,,,,,74072.23,,,,,6.0,,,2234776.0,40475.1,,,,
Botswana,BWA,2017.0,,,,,,,,,,75946.28,,,,,5.5,,,2266747.0,41756.7,,,,
Botswana,BWA,2018.0,,,,,,,,,,77927.75,,,,,5.0,,,2299141.0,43344.6,,,,
Botswana,BWA,2019.0,,,,,,,,,,79087.81,,,,,5.0,,,2332083.0,45322.9,,,,
Botswana,BWA,2020.0,,,,,,,,,,70627.99,,,,,4.75,,,2365894.0,45831.4,,,,
Botswana,BWA,2021.0,,,,,,,,,,77876.73,,,,,3.75,,,2401441.0,46484.0,,,,
Botswana,BWA,2022.0,,,,,,,,,,80960.0,,,,,3.75,962319.0,,2439892.0,49490.6,,,25.4,
Botswana,BWA,2023.0,,,,,,,,,,82375.03,,,,,1.9,1063776.0,,2480244.0,52312.6,,,25.9,
Botswana,BWA,2024.0,,,,,,,,,,78804.33,,,,,1.9,1041204.0,,,49583.5,,,27.6,
Botswana,BWA,2025.0,,,,,,,,,,,,,,,1.9,,,,49435.2,,,,
Egypt,EGY,1982.0,,,,,,,,,,,,,,,,,22.5,,1319.4,,,,
Egypt,EGY,1983.0,,,,,,,,,4.89,,,,,,,,26.6,,1383.91,,,,
Egypt,EGY,1984.0,,,,,,,,,9.75,,,,,,,,31.6,,1518.78,,,,
Egypt,EGY,1985.0,,,,,,,,,5.79,,,,,,,,37.3,,1606.74,,,,
Egypt,EGY,1986.0,,,,,,,,,4.74,,,,,,,,44.1,,1682.97,,,,
Egypt,EGY,1987.0,,,,,,,,,3.48,,,,,,,,51.5,,1741.61,,,,
Egypt,EGY,1988.0,,,,,,,,,5.39,,,,,,,,61.6,,1835.43,,,,
Egypt,EGY,1989.0,,,,,,,,,5.11,,,,,,,,77.0,,1929.26,,,,
Egypt,EGY,1990.0,,,,,,,,,5.78,,,,,,,,95.8,,2040.68,,,,
Egypt,EGY,1991.0,,,,,,,,,1.15,,,,,,,,112.5,,2064.13,,,,
Egypt,EGY,1992.0,,,,,,,,,4.26,,,,,,,,139.1,,2152.09,,,,
Egypt,EGY,1993.0,,,,,,,,,3.0,,,,,,,,155.2,,2216.6,,,,
Egypt,EGY,1994.0,,,,,,,,,3.97,,,,,,,,175.0,,2304.56,,,,
Egypt,EGY,1995.0,,,,,,,,,4.58,,,,,,,,204.0,,2410.11,,,,
Egypt,EGY,1996.0,,,,,,,,,5.11,,,,,,,,229.4,,2533.25,,,,
Egypt,EGY,1997.0,,,,,,,,,5.32,,,,,,,,265.9,,2668.12,,,,
Egypt,EGY,1998.0,,,,,,,,,4.18,,,,,,,,287.4,,2779.54,,,,
Egypt,EGY,1999.0,,,,,,,,,5.91,,,,,,,,307.6,,2943.73,,,,
Egypt,EGY,2000.0,,,,,,,,,5.58,,,,,2.9,,,340.1,,3107.92,,,,
Egypt,EGY,2001.0,,,,,,,,,3.4,,,,,2.6,,,358.7,,3213.48,,,,
Egypt,EGY,2002.0,,,,,,,,,2.37,,,,,2.4,,,378.9,,3289.71,,,,
Egypt,EGY,2003.0,,,,,,,,,3.19,,,,,2.9,,,417.5,,3394.73,,,,
Egypt,EGY,2004.0,,,,,,,,,4.09,,18964.5,,,12.7,,,485.3,,3533.57,,,,
Egypt,EGY,2005.0,,,135.5,,,,4031.0,,4.47,,18231.0,,7348.3,9.4,,,538.5,,3691.99,,,,
Egypt,EGY,2006.0,-962.0,,138.3,3805.0,,42053.0,18455.1,,6.84,,18864.5,,30441.0,3.4,,,617.7,,3945.32,45046.0,17124.0,,
Egypt,EGY,2007.0,-56213.0,,155.5,17718.0,,244018.0,22017.5,,7.09,,19492.0,,38308.1,12.4,,,744.8,,4225.22,205654.0,114326.0,,
Egypt,EGY,2008.0,-67563.0,,110.5,19849.0,,305795.0,29355.8,,7.16,,21641.1,,52771.2,10.5,,,895.5,,4527.8,248835.0,137195.0,,
Egypt,EGY,2009.0,-72379.0,,126.4,22267.0,,356944.0,25168.9,,4.67,,25817.7,,50342.2,14.4,,,1042.2,,4739.07,288545.0,163222.0,,
Egypt,EGY,2010.0,-98886.0,,100.0,23453.0,,396768.0,23873.1,,5.15,,26249.3,,48993.1,13.9,11.1,,1206.6,,4983.15,303361.0,170494.0,9.0,
Egypt,EGY,2011.0,-134138.0,,110.8,26484.0,,440410.0,26992.5,,1.76,,27092.2,,54095.5,10.8,10.7,,1371.1,,5070.09,302010.0,192072.0,12.0,
Egypt,EGY,2012.0,-165689.0,,120.3,26018.0,,516422.0,25071.9,,2.23,,25594.4,,59210.9,8.6,11.9,,1674.7,,5183.44,348865.0,207410.0,12.7,
Egypt,EGY,2013.0,-246853.0,,127.9,28739.0,,644080.0,26988.1,,2.19,,28489.6,,57682.8,6.3,12.1,,1860.4,,5296.37,403637.0,251118.0,13.2,
Egypt,EGY,2014.0,-254715.0,,142.4,31844.0,,759847.0,26022.6,,2.92,,29054.0,,60181.9,11.4,11.8,,2130.0,,5451.64,519449.0,260289.0,13.0,
Egypt,EGY,2015.0,-284314.0,,156.2,41477.0,,805929.0,22245.1,,4.37,,25707.2,,61305.5,9.7,11.7,,2443.9,,5689.25,538378.0,305957.0,12.8,
Egypt,EGY,2016.0,-244653.0,,171.9,30854.0,,586805.0,18704.6,,4.35,,24436.7,,57387.7,10.1,11.9,,2709.4,,5936.11,331741.0,352315.0,12.5,
Egypt,EGY,2017.0,-366401.0,,220.3,48934.0,,1116985.0,21728.2,,4.18,,34874.7,,59003.0,28.1,16.5,,3655.9,,6184.85,755110.0,462007.0,11.8,
Egypt,EGY,2018.0,-425385.0,,257.9,55002.0,,1335980.0,25827.0,,5.31,,47648.8,,63103.0,17.1,19.9,,4666.2,,6514.41,915974.0,628083.0,9.9,
Egypt,EGY,2019.0,-423019.0,,290.7,61582.0,,1505187.0,28495.0,,5.56,,57272.0,,66529.4,12.7,18.1,,5596.0,,6875.82,1080152.0,736121.0,7.9,
Egypt,EGY,2020.0,-408509.0,,105.6,66868.0,,1580934.0,26376.0,,3.57,,69352.1,,62841.1,7.2,13.6,,6152.6,,7121.63,1121422.0,739633.0,7.9,
Egypt,EGY,2021.0,-459449.0,,110.2,79426.0,,1729464.0,28676.5,,3.3,,82445.6,,70736.1,4.3,9.5,,6663.1,,7353.18,1266027.0,833993.0,7.4,
Egypt,EGY,2022.0,-477486.0,,118.1,89708.0,,1937165.0,43906.4,,6.6,,82275.4,,87302.4,7.3,9.5,,7842.5,,7842.5,1483977.0,990138.0,7.2,
Egypt,EGY,2023.0,-580182.0,,148.7,100966.0,,2309495.0,39624.0,,3.8,,83428.3,,70783.6,25.8,14.4,,10155.4,,8137.3,1723717.0,1258582.0,7.0,
Egypt,EGY,2024.0,,,,,,,7670.0,,2.4,,80178.2,,72134.7,29.8,19.3,,,,8332.63,,,6.6,
Egypt,EGY,2025.0,,,,,,,,,,,,,,23.95,21.0,,,,,,,,
Ethiopia,ETH,2008.0,,,,,,,,,,,,,,7.8,,,,,,,,,
Ethiopia,ETH,2010.0,,,,,,,,,,,,,,7.9,,,,,,,,,
Ethiopia,ETH,2011.0,,,,,,,,,11.4,396.0,,,,8.8,,,478900.0,80700000.0,475600.0,,,,
Ethiopia,ETH,2012.0,,,,,,,,,8.7,523.0,,,,9.1,,,519500.0,82700000.0,517000.0,,,,
